age,cus_month_income,cus_gender,cus_marital_status,cus_customer_since,years_with_us,total_debit_trans_s1,total_debit_trans_s2,total_debit_trans_s3,total_debit_amt_s1,total_debit_amt_s2,total_debit_amt_s3,total_credit_trans_s1,total_credit_trans_s2,total_credit_trans_s3,total_credit_amt_s1,total_credit_amt_s2,total_credit_amt_s3,total_debit_amt,total_debit_trans,total_credit_amt,total_credit_trans,total_transactions,cus_target,tar_desc,status
16,500000.0,1,4,53,14,25,23,7,29294.98,102751.05,16560.0,6,10,1,18000.0,103000.0,3000.0,148606.03,55,124000.0,17,72,2223,1,0
39,1000000.0,1,1,53,14,6,8,7,13398.64,11225.78,10796.44,6,7,6,1769855.6,1769317.5,1194230.45,35420.86,21,4733403.55,19,40,2212,0,0
30,2500000.0,1,4,53,14,135,76,36,764270.6,929922.75,592449.0,7,28,11,187800.0,490056.0,369480.0,2286642.35,247,1047336.0,46,293,2222,2,1
41,2000000.0,0,4,54,14,20,15,17,76480.87,40088.12,77759.0,3,5,3,11330.0,65250.0,64200.0,194327.99,52,140780.0,11,63,2223,1,0
43,6000000.0,1,4,54,14,94,85,77,160865.6,136756.71,108375.44,25,19,22,587245.05,699798.63,657956.54,405997.75,256,1945000.22,66,322,2222,2,0
46,15000000.0,0,1,54,14,85,126,43,96979.71,209411.69,44106.45,5,8,2,57000.0,106500.0,9900.0,350497.85,254,173400.0,15,269,2223,1,0
75,12000.0,0,1,13,23,0,1,9,0.0,31850.0,254789.23,0,0,0,0.0,0.0,0.0,286639.23,10,0.0,0,10,2223,1,1
49,30000000.0,0,1,79,14,17,5,0,34230.98,54571.52,0.0,8,2,0,201500.0,56677.8,0.0,88802.5,22,258177.8,10,32,2222,2,0
66,0.0,1,5,81,14,0,3,11,0.0,9463.6,13700.0,0,2,4,0.0,9590.0,13650.0,23163.6,14,23240.0,6,20,2223,1,0
62,5648.12,1,4,16,23,24,62,84,74246.02,621965.93,678631.62,4,11,1,39600.0,167797.52,4500.0,1374843.57,170,211897.52,16,186,2232,2,0
20,2000000.0,1,4,81,14,0,1,0,0.0,800.0,0.0,0,0,0,0.0,0.0,0.0,800.0,1,0.0,0,1,2223,1,1
77,2500.0,1,1,83,14,69,175,212,325814.63,1029869.57,973603.55,17,32,38,706833.41,1360115.6,3159066.29,2329287.75,456,5226015.3,87,543,2222,2,0
69,2500.0,1,4,82,14,8,5,0,30100.0,18700.0,0.0,7,6,7,30160.0,27693.0,31735.0,48800.0,13,89588.0,20,33,2223,1,1
34,0.0,1,4,83,14,4,25,4,2485.0,59085.0,3950.0,0,0,1,0.0,0.0,19000.0,65520.0,33,19000.0,1,34,2223,1,0
46,3000.0,1,4,84,14,107,116,131,72137.2,79050.0,89370.26,7,6,7,82556.16,76940.28,88470.15,240557.46,354,247966.59,20,374,2223,1,0
82,3000.0,0,4,84,14,17,16,15,37800.0,34310.0,39644.73,7,6,7,37567.0,34407.0,39576.0,111754.73,48,111550.0,20,68,2223,1,0
48,3000.0,0,4,84,14,51,4,13,101173.49,6963.0,43260.5,0,0,0,0.0,0.0,0.0,151396.99,68,0.0,0,68,2223,1,1
60,3000.0,0,4,84,14,19,18,21,39403.6,37010.0,42461.7,7,6,7,39524.74,37033.6,42457.44,118875.3,58,119015.78,20,78,2223,1,0
48,3500.0,1,4,84,14,49,50,36,164095.0,201750.0,129000.0,8,6,7,178019.86,172938.85,199331.88,494845.0,135,550290.59,21,156,2223,1,0
41,1014.0,0,4,84,14,21,44,8,58879.85,143355.05,44045.62,13,6,4,75300.0,66000.0,58000.0,246280.52,73,199300.0,23,96,2223,1,0
87,2500000.0,1,4,84,14,15,15,16,35823.6,32850.0,37844.7,7,6,7,35902.0,33033.0,37729.0,106518.3,46,106664.0,20,66,2223,1,0
48,3500.0,1,4,84,14,5,0,0,12725.01,0.0,0.0,0,0,0,0.0,0.0,0.0,12725.01,5,0.0,0,5,2222,2,0
46,2000000.0,1,4,84,14,19,0,0,44155.0,0.0,0.0,2,0,0,8500.0,0.0,0.0,44155.0,19,8500.0,2,21,2223,1,1
16,1000000.0,1,4,84,14,15,6,3,42100.0,3500.0,1600.0,1,0,0,41000.0,0.0,0.0,47200.0,24,41000.0,1,25,2223,1,0
69,5000000.0,0,1,104,14,0,1,6,0.0,64417.5,356219.5,0,0,0,0.0,0.0,0.0,420637.0,7,0.0,0,7,2222,2,0
54,2000000.0,1,4,47,14,301,323,246,314719.67,387612.23,331326.17,1,0,0,2000.0,0.0,0.0,1033658.07,870,2000.0,1,871,2222,2,0
51,1557470.0,0,4,48,14,5,0,0,3904.38,0.0,0.0,0,0,0,0.0,0.0,0.0,3904.38,5,0.0,0,5,2223,1,1
36,2000000.0,1,4,48,14,1,25,94,4.5,72753.24,1163863.42,2,10,12,419953.35,1963117.03,2475972.89,1236621.16,120,4859043.27,24,144,2212,0,0
52,180.0,1,1,201,4,0,17,0,0.0,53328.96,0.0,0,0,0,0.0,0.0,0.0,53328.96,17,0.0,0,17,2222,2,1
32,500000.0,1,4,49,14,9,5,29,26293.58,88378.4,1426250.0,4,4,7,20308.88,24378.1,1445950.0,1540921.98,43,1490636.98,15,58,2223,1,0
51,1315.0,1,4,50,14,28,21,18,55597.76,77233.13,40640.77,8,7,7,69632.48,66000.0,323754.98,173471.66,67,459387.46,22,89,2222,2,0
33,1500.0,1,4,50,14,76,53,53,357840.0,259075.53,182240.0,14,15,12,360313.32,262219.74,310285.74,799155.53,182,932818.8,41,223,2222,2,0
39,2000000.0,0,4,51,14,0,61,64,0.0,38851.2,26451.0,0,10,9,0.0,23250.0,26900.0,65302.2,125,50150.0,19,144,2222,2,1
41,12000.0,1,4,51,14,32,14,30,49715.6,34644.5,244242.7,3,2,2,22900.0,31050.0,509000.0,328602.8,76,562950.0,7,83,2223,1,0
34,500000.0,1,4,51,14,199,350,273,526101.14,795611.28,660442.96,9,8,14,599912.1,821646.22,716331.17,1982155.38,822,2137889.49,31,853,2222,2,0
32,1000000.0,0,4,51,14,55,57,65,1655402.28,1268969.06,822333.75,6,40,50,291000.0,1877459.0,1757762.0,3746705.09,177,3926221.0,96,273,2222,2,0
37,2000000.0,0,4,51,14,6,8,9,23053.21,14378.21,16408.38,0,2,3,0.0,11500.0,27000.0,53839.8,23,38500.0,5,28,2222,2,1
58,10287.0,1,4,52,14,4,0,0,1000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1000.0,4,0.0,0,4,2223,1,1
45,6500000.0,0,4,53,14,1,0,12,817.02,0.0,553033.32,0,0,2,0.0,0.0,24000.0,553850.34,13,24000.0,2,15,2222,2,0
64,5250000.0,1,1,54,14,16,12,24,40200.0,53200.0,37500.0,0,0,2,0.0,0.0,38000.0,130900.0,52,38000.0,2,54,2223,1,0
40,1000000.0,1,4,53,14,7,11,41,7978.77,23701.0,101574.91,0,0,3,0.0,0.0,71944.0,133254.68,59,71944.0,3,62,2223,1,1
58,6000.0,1,4,6,25,23,28,20,175568.9,91649.5,80175.0,5,5,6,79800.0,97200.0,97200.0,347393.4,71,274200.0,16,87,2222,2,0
45,2500.0,1,4,78,14,16,22,20,36293.6,44000.0,33549.7,5,7,5,29657.75,44959.5,32931.5,113843.3,58,107548.75,17,75,2223,1,0
65,500.0,1,4,79,14,30,24,26,80050.0,63592.02,81950.0,1,0,0,29000.0,0.0,0.0,225592.02,80,29000.0,1,81,2222,2,0
50,5000000.0,0,4,194,8,228,208,202,1459586.17,932585.43,1464454.13,11,10,4,1124492.41,1427791.15,332804.95,3856625.73,638,2885088.51,25,663,2222,2,0
45,2500000.0,0,4,80,14,4,0,0,1919.76,0.0,0.0,0,0,0,0.0,0.0,0.0,1919.76,4,0.0,0,4,2223,1,1
27,200000.0,0,4,80,14,0,1,0,0.0,8000.0,0.0,0,0,0,0.0,0.0,0.0,8000.0,1,0.0,0,1,2223,1,1
51,12000000.0,1,4,46,14,38,15,11,138570.33,47400.0,35600.0,0,0,0,0.0,0.0,0.0,221570.33,64,0.0,0,64,2223,1,1
49,10760.35,0,0,3,25,561,541,757,1395064.38,970655.98,2681701.8,123,104,88,2065602.22,1631878.59,2406761.4,5047422.16,1859,6104242.21,315,2174,2230,3,0
42,3500000.0,1,4,48,14,4,2,0,1710.78,1000.0,0.0,1,2,0,1000.0,122000.0,0.0,2710.78,6,123000.0,3,9,2223,1,1
43,3200000.0,1,4,47,14,8,19,93,7693.6,109646.41,336553.77,0,2,4,0.0,110000.0,229000.0,453893.78,120,339000.0,6,126,2223,1,0
37,1000000.0,0,4,47,14,6,6,8,1200.0,1200.0,67800.0,0,2,4,0.0,114000.0,67782.0,70200.0,20,181782.0,6,26,2223,1,0
41,2000000.0,1,4,48,14,101,155,53,598007.06,919453.77,98594.0,6,8,5,72556.0,51764.52,49360.89,1616054.83,309,173681.41,19,328,2223,1,0
40,3000000.0,0,4,49,14,20,3,0,12853.6,1510.0,0.0,4,1,0,12000.0,1500.0,0.0,14363.6,23,13500.0,5,28,2223,1,1
18,750000.0,0,4,49,14,0,0,1,0.0,0.0,693.6,0,0,0,0.0,0.0,0.0,693.6,1,0.0,0,1,2223,1,1
20,100000.0,1,4,50,14,1,0,0,693.6,0.0,0.0,0,0,0,0.0,0.0,0.0,693.6,1,0.0,0,1,2223,1,1
39,15000000.0,0,4,182,13,1,38,18,907.8,100669.74,35889.47,0,0,0,0.0,0.0,0.0,137467.01,57,0.0,0,57,2212,0,0
31,1000000.0,1,1,50,14,66,93,66,126831.32,158272.94,186579.28,6,7,9,138225.52,167781.24,169765.9,471683.54,225,475772.66,22,247,2223,1,0
37,1000000.0,1,4,50,14,12,30,30,38387.88,86942.24,91232.6,2,4,1,50000.0,758455.28,15000.0,216562.72,72,823455.28,7,79,2223,1,0
16,200000.0,0,4,51,14,17,15,26,12708.91,10068.35,12172.19,0,0,0,0.0,0.0,0.0,34949.45,58,0.0,0,58,2223,1,0
36,2000000.0,1,4,51,14,121,104,64,610196.25,568006.59,470315.24,0,0,2,0.0,0.0,21000.0,1648518.08,289,21000.0,2,291,2223,1,0
44,4100000.0,1,4,52,14,33,11,14,66605.87,1571.0,10249.7,8,0,4,111495.36,0.0,8197.98,78426.57,58,119693.34,12,70,2223,1,0
34,100000.0,1,4,52,14,18,0,0,12757.6,0.0,0.0,2,0,0,7000.0,0.0,0.0,12757.6,18,7000.0,2,20,2223,1,1
36,1600000.0,0,4,54,14,25,13,33,40831.0,9200.09,70348.67,6,6,7,40450.0,19200.0,65000.0,120379.76,71,124650.0,19,90,2223,1,0
69,4950.0,1,1,54,14,409,118,68,1568941.09,525064.05,462207.91,4,9,48,56173.13,26220.94,1139683.56,2556213.05,595,1222077.63,61,656,2223,1,0
44,400.0,0,4,54,14,49,28,17,80713.57,75785.64,59269.02,12,18,11,243678.01,354921.21,304313.4,215768.23,94,902912.62,41,135,2222,2,0
62,0.0034218629565991,0,4,15,23,21,17,9,41893.6,29400.0,10749.7,0,0,0,0.0,0.0,0.0,82043.3,47,0.0,0,47,2223,1,0
37,2900000.0,0,1,79,14,48,17,12,26459.49,18348.5,6170.4,2,7,1,10000.0,241000.0,2000.0,50978.39,77,253000.0,10,87,2222,2,0
36,1000000.0,0,1,79,14,63,28,66,244951.09,619147.58,880399.96,9,20,33,288000.0,1516500.0,1739500.0,1744498.63,157,3544000.0,62,219,2222,2,0
50,1500.0,0,4,105,14,5,0,0,4893.6,0.0,0.0,0,0,0,0.0,0.0,0.0,4893.6,5,0.0,0,5,2223,1,1
59,5000000.0,1,4,105,14,7,13,0,10400.0,9293.6,0.0,1,5,0,1000.0,9300.0,0.0,19693.6,20,10300.0,6,26,2223,1,0
76,2500000.0,1,1,105,14,16,30,6,9193.6,52700.0,4449.7,0,1,0,0.0,1000.0,0.0,66343.3,52,1000.0,1,53,2223,1,0
44,500.0,0,4,107,14,53,54,57,130445.25,114625.88,142935.61,14,11,11,133639.61,114997.09,144111.24,388006.74,164,392747.94,36,200,2223,1,0
60,5000000.0,1,1,106,14,11,17,11,38000.0,94700.0,44994.99,1,3,0,5500.0,20500.0,0.0,177694.99,39,26000.0,4,43,2223,1,0
48,20000000.0,0,4,106,14,65,16,6,401964.39,498609.5,335000.0,5,1,2,123000.0,30000.0,34100.0,1235573.89,87,187100.0,8,95,2222,2,1
47,3000000.0,1,4,106,14,96,51,54,352111.27,144378.3,168080.25,0,0,0,0.0,0.0,0.0,664569.82,201,0.0,0,201,2212,0,0
47,1500.0,1,4,106,14,223,213,377,4395813.94,4225744.11,6327579.06,20,29,19,3960033.97,3933093.84,6580420.52,14949137.11,813,14473548.33,68,881,2222,2,0
39,1000000.0,1,4,107,14,55,282,86,210268.92,1407895.09,614170.0,3,21,5,115200.0,1801950.0,480000.0,2232334.01,423,2397150.0,29,452,2223,1,0
58,2000000.0,0,4,109,14,40,58,86,108136.0,146286.0,172227.0,6,9,7,141763.22,179739.38,195031.89,426649.0,184,516534.49,22,206,2223,1,0
38,1500.0,1,4,108,14,39,27,42,256502.04,154250.87,173726.46,13,12,9,212000.0,154400.0,186000.0,584479.37,108,552400.0,34,142,2223,1,1
66,0.0034218629565991,0,1,25,21,11,25,22,28500.0,42200.0,31200.0,7,7,18,24294.55,24294.55,26893.5,101900.0,58,75482.6,32,90,2223,1,0
38,3500.0,1,4,109,14,143,292,308,1242546.23,6848445.31,5529385.04,9,20,23,1245803.09,7266893.35,5271050.52,13620376.58,743,13783746.96,52,795,2223,1,0
38,3800000.0,1,4,110,14,107,109,102,285411.08,272662.84,393595.92,10,10,14,345092.92,329191.02,454862.79,951669.84,318,1129146.73,34,352,2222,2,0
43,6500000.0,1,4,111,14,6,8,1,2317.02,1900.0,200.0,1,0,0,2000.0,0.0,0.0,4417.02,15,2000.0,1,16,2222,2,1
39,6853720.0,0,4,110,14,64,43,67,338479.0,163921.6,162066.0,16,18,11,262110.0,153294.0,168113.71,664466.6,174,583517.71,45,219,2222,2,0
41,5000000.0,0,1,110,14,166,173,110,923287.99,350721.38,268436.01,12,13,9,459000.0,232500.0,121500.0,1542445.38,449,813000.0,34,483,2222,2,0
38,12800000.0,0,4,111,14,133,67,22,343142.68,241635.0,160790.0,8,6,10,448552.43,276769.0,156050.0,745567.68,222,881371.43,24,246,2222,2,0
52,18000.0,0,1,111,14,191,187,199,524672.33,454798.78,491085.47,9,9,10,654244.48,574243.36,680459.19,1470556.58,577,1908947.03,28,605,2222,2,0
30,250000.0,0,4,111,14,28,52,2,44295.31,128019.0,200.0,8,7,3,88290.0,104000.0,20650.0,172514.31,82,212940.0,18,100,2222,2,0
34,500000.0,1,4,122,14,49,49,74,124543.11,65036.0,184553.4,24,12,43,133770.0,36835.0,188690.0,374132.51,172,359295.0,79,251,2223,1,0
39,298.0,1,4,122,14,88,112,72,59578.6,136611.8,74775.86,9,13,19,59500.0,172850.0,76560.0,270966.26,272,308910.0,41,313,2223,1,0
49,20000.0,1,1,80,14,0,2,0,0.0,2545.47,0.0,0,0,0,0.0,0.0,0.0,2545.47,2,0.0,0,2,2211,3,1
39,4500000.0,1,4,81,14,20,25,60,118991.86,79343.62,310394.7,3,0,3,481026.68,0.0,59508.0,508730.18,105,540534.68,6,111,2223,1,0
70,1200000.0,0,1,81,14,2,2,2,1293.6,5600.0,5749.7,0,0,0,0.0,0.0,0.0,12643.3,6,0.0,0,6,2223,1,0
63,2500.0,0,1,83,14,47,58,71,150900.0,146030.0,174070.0,12,6,7,154021.97,143844.3,163241.07,471000.0,176,461107.34,25,201,2223,1,0
63,2500.0,1,1,83,14,136,89,109,278617.84,177663.2,234945.2,10,6,10,89440.88,70510.98,262378.44,691226.24,334,422330.3,26,360,2223,1,0
61,2500.0,1,1,82,14,21,13,16,22700.0,18050.0,24021.0,7,6,7,22838.0,21012.0,24000.0,64771.0,50,67850.0,20,70,2222,2,1
57,2500.0,1,4,82,14,9,22,0,19600.0,37993.6,0.0,0,0,0,0.0,0.0,0.0,57593.6,31,0.0,0,31,2223,1,1
47,2500.0,1,4,82,14,0,8,65,0.0,31467.51,376091.03,0,1,10,0.0,75000.0,191600.83,407558.54,73,266600.83,11,84,2223,1,0
62,2500.0,1,4,83,14,22,23,22,66900.0,54800.0,40200.0,11,7,7,87511.18,37249.42,40091.78,161900.0,67,164852.38,25,92,2223,1,0
58,2500.0,0,1,83,14,38,30,33,64713.6,41326.0,47175.7,11,6,7,65057.25,41284.64,47363.76,153215.3,101,153705.65,24,125,2223,1,0
37,1500000.0,1,4,83,14,111,236,225,510881.35,1598855.11,1071156.04,13,15,9,412880.45,1833627.74,1088634.91,3180892.5,572,3335143.1,37,609,2222,2,0
59,3200000.0,0,4,83,14,119,128,105,191269.8,239113.9,188417.0,3,4,1,55146.76,47906.36,2800.0,618800.7,352,105853.12,8,360,2223,1,0
40,1500000.0,1,4,83,14,56,74,94,113988.05,108400.06,222272.45,6,7,9,395458.5,373957.16,454867.53,444660.56,224,1224283.19,22,246,2232,2,0
32,2000000.0,0,4,83,14,6,38,31,6042.1,172817.93,109409.7,1,1,5,15000.0,11200.0,55000.0,288269.73,75,81200.0,7,82,2223,1,0
61,3000.0,1,1,84,14,16,14,18,47543.6,43700.0,50049.7,7,6,7,47642.4,43829.4,50063.0,141293.3,48,141534.8,20,68,2223,1,0
58,10000.0,1,4,84,14,163,257,124,659855.39,1030285.3,304403.05,10,5,8,165900.0,46500.0,78200.0,1994543.74,544,290600.0,23,567,2222,2,0
57,3500.0,1,4,84,14,12,8,12,31903.6,29508.0,34055.7,7,6,7,32042.26,29411.28,34028.7,95467.3,32,95482.24,20,52,2223,1,0
50,3500.0,0,4,84,14,35,24,34,50500.0,40200.0,49700.0,7,6,7,45515.24,41712.66,48393.88,140400.0,93,135621.78,20,113,2223,1,0
38,1000000.0,0,4,84,14,96,23,102,198620.6,87321.55,318501.7,20,8,25,174750.0,78200.0,191050.0,604443.85,221,444000.0,53,274,2223,1,0
42,390.0,0,4,85,14,0,3,3,0.0,4500.0,6000.0,0,0,0,0.0,0.0,0.0,10500.0,6,0.0,0,6,2223,1,0
37,1000000.0,1,1,104,14,141,1,2,309368.24,693.6,2350.0,5,4,5,137160.0,144000.0,161180.0,312411.84,144,442340.0,14,158,2222,2,0
53,5000000.0,1,4,105,14,20,15,0,71700.0,63400.0,0.0,6,5,0,71801.94,63447.15,0.0,135100.0,35,135249.09,11,46,2223,1,1
46,2250.0,1,4,80,14,19,16,18,33100.0,26900.0,51900.0,11,12,13,33234.29,27339.15,51617.76,111900.0,53,112191.2,36,89,2223,1,0
35,1000000.0,1,4,80,14,64,0,41,249248.7,0.0,55377.52,7,0,14,233600.0,0.0,56400.0,304626.22,105,290000.0,21,126,2223,1,0
49,1000.0,0,0,80,14,316,449,249,1574903.24,1413227.21,710504.94,189,111,82,2261961.0,1290112.0,880100.0,3698635.39,1014,4432173.0,382,1396,2222,2,0
37,1000000.0,1,4,200,4,10,36,78,20982.0,66225.4,297639.32,5,18,14,21200.0,71350.0,56405.0,384846.72,124,148955.0,37,161,2223,1,0
25,2000000.0,1,4,81,14,0,1,0,0.0,800.0,0.0,0,0,0,0.0,0.0,0.0,800.0,1,0.0,0,1,2223,1,1
57,2500.0,1,4,83,14,50,41,44,70209.5,78431.2,88652.0,7,7,7,75463.2,81820.6,79236.36,237292.7,135,236520.16,21,156,2223,1,0
58,2500000.0,0,4,83,14,0,0,1,0.0,0.0,883.32,0,0,0,0.0,0.0,0.0,883.32,1,0.0,0,1,2223,1,0
62,2500.0,0,1,83,14,7,8,16,2019.4,1610.0,8335.74,3,2,3,2200.0,1500.0,4200.0,11965.14,31,7900.0,8,39,2222,2,0
57,2500.0,0,4,83,14,62,60,85,152073.08,147254.95,210662.41,7,8,7,148519.51,150835.07,213527.42,509990.44,207,512882.0,22,229,2222,2,0
57,2500.0,0,4,83,14,82,118,43,365915.44,4554052.38,77647.48,7,6,7,75654.36,65796.77,87092.34,4997615.3,243,228543.47,20,263,2223,1,0
63,25510.0,1,1,83,14,86,108,85,385063.95,302035.07,304555.56,6,6,6,457480.46,329519.19,420170.08,991654.58,279,1207169.73,18,297,2212,0,0
56,3000000.0,1,1,84,14,21,18,23,42205.6,38512.0,44511.7,7,6,7,41800.28,38336.94,44450.92,125229.3,62,124588.14,20,82,2223,1,0
60,3000.0,1,1,84,14,16,17,20,46600.0,39392.6,63800.0,7,5,7,47847.86,37267.02,63897.01,149792.6,53,149011.89,19,72,2223,1,0
58,5000000.0,1,1,84,14,120,80,67,246526.38,198414.77,172436.51,7,7,7,437991.49,445822.99,386801.19,617377.66,267,1270615.67,21,288,2222,2,0
44,3500.0,0,0,84,14,74,49,29,636488.25,494847.32,64990.0,12,3,3,362150.0,111000.0,19978.97,1196325.57,152,493128.97,18,170,2223,1,0
46,3375000.0,0,4,89,14,0,8,72,0.0,16400.0,99070.0,0,2,12,0.0,16804.52,100222.37,115470.0,80,117026.89,14,94,2223,1,0
37,3500000.0,1,4,84,14,1,0,0,508.98,0.0,0.0,0,0,0,0.0,0.0,0.0,508.98,1,0.0,0,1,2223,1,1
38,1000000.0,1,4,85,14,2,3,0,500.0,900.0,0.0,0,0,0,0.0,0.0,0.0,1400.0,5,0.0,0,5,2222,2,0
47,2500.0,1,1,105,14,56,69,34,77862.38,137997.57,47094.0,1,2,0,21000.0,21600.0,0.0,262953.95,159,42600.0,3,162,2223,1,0
54,10000000.0,1,4,105,14,132,35,109,107148.98,27424.76,90616.3,0,0,0,0.0,0.0,0.0,225190.04,276,0.0,0,276,2212,0,0
63,4000000.0,0,5,106,14,0,2,3,0.0,1304.38,6749.7,0,0,0,0.0,0.0,0.0,8054.08,5,0.0,0,5,2223,1,1
26,0.0,0,4,106,14,4,11,0,1230.0,6778.8,0.0,1,2,0,1000.0,6750.0,0.0,8008.8,15,7750.0,3,18,2223,1,1
62,2100000.0,1,4,122,14,8,12,14,26491.93,35987.88,39204.6,8,12,13,26491.93,35987.88,38986.87,101684.41,34,101466.68,33,67,2223,1,1
43,1500.0,1,4,122,14,22,30,14,50257.2,47579.8,24829.7,7,6,8,47679.85,47629.69,41081.16,122666.7,66,136390.7,21,87,2223,1,1
52,2100.0,1,4,122,14,9,0,22,11550.0,0.0,15449.7,3,0,5,11640.0,0.0,15350.0,26999.7,31,26990.0,8,39,2223,1,0
53,2500000.0,1,4,123,14,21,20,17,65593.6,63700.0,53849.7,6,6,6,58185.0,63846.0,53254.0,183143.3,58,175285.0,18,76,2223,1,0
52,2100000.0,1,4,123,14,23,20,26,42719.6,43984.0,53229.7,7,6,8,42810.42,44063.47,53897.53,139933.3,69,140771.42,21,90,2223,1,0
51,8869000.0,0,5,123,14,10,7,8,8182.57,12100.0,9958.14,6,6,6,343564.76,405348.87,395549.48,30240.71,25,1144463.11,18,43,2222,2,0
48,2000.0,1,4,123,14,18,20,23,37352.7,36459.1,43008.8,7,6,8,45879.52,48049.42,55836.46,116820.6,61,149765.4,21,82,2223,1,0
44,1850.0,0,4,123,14,45,46,51,53060.0,55700.0,55010.0,11,7,9,51678.19,56670.11,57787.38,163770.0,142,166135.68,27,169,2223,1,0
52,15000000.0,1,1,123,14,0,20,10,0.0,60140.95,18321.0,0,4,1,0.0,58500.0,10000.0,78461.95,30,68500.0,5,35,2223,1,1
59,1850000.0,1,4,123,14,18,18,20,33740.8,42750.0,48549.7,7,6,8,42632.9,42801.21,48565.88,125040.5,56,133999.99,21,77,2223,1,0
33,1500000.0,0,4,125,14,50,22,9,173699.65,105309.0,24700.0,0,0,0,0.0,0.0,0.0,303708.65,81,0.0,0,81,2223,1,0
43,6400000.0,0,4,125,14,19,31,26,91791.06,165378.2,124107.78,4,7,7,91531.18,164192.92,144954.04,381277.04,76,400678.14,18,94,2223,1,0
36,100000.0,1,4,126,14,104,126,39,129656.31,156368.94,55409.51,104,126,39,129656.31,156368.94,55409.51,341434.76,269,341434.76,269,538,2223,1,1
39,1000000.0,1,4,126,14,166,217,160,246309.6,281305.1,229490.0,6,10,8,271592.38,263536.77,255904.17,757104.7,543,791033.32,24,567,2223,1,0
61,73000.0,0,1,40,20,89,81,97,308822.01,234055.22,315479.08,0,0,0,0.0,0.0,0.0,858356.31,267,0.0,0,267,2211,3,0
59,2500000.0,0,4,132,14,77,70,85,199978.93,195860.0,199943.73,6,7,7,197032.98,215834.36,198170.38,595782.66,232,611037.72,20,252,2222,2,0
